global_game_id,global_game_number,source_file,source_file_without_extension,match_date_clean,competition_clean,match_teams,team_name,player_name,position,jersey_number,nationality,team_id,description,formation,season,competition,oppenent,player_id,x_position,y_position,temp_match_id
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Víctor Valdés,GK,1,Spain,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,victor_valdes,0.5,0.95,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Dani Alves,RB,2,Brazil,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,dani_alves,0.82,0.83,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Gerard Piqué,CB,3,Spain,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,gerard_pique,0.62,0.86,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Xavi Hernández,CM,6,Spain,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,xavi_hernandez,0.65,0.65,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,David Villa,LW,7,Spain,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,david_villa,0.22,0.45,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Andrés Iniesta,CM,8,Spain,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,andres_iniesta,0.35,0.65,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Lionel Messi,ST,10,Argentina,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,lionel_messi,0.5,0.35,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Javier Mascherano,CB,14,Argentina,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,javier_mascherano,0.38,0.86,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Sergio Busquets,CM,16,Spain,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,sergio_busquets,0.5,0.63,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Pedro Rodríguez,RW,17,Portugal,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,pedro,0.78,0.45,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,barcelona_2012_13_milan4_0,Jordi Alba,LB,18,Spain,1,Barcelona 4–0 Milan (2013 comeback),4-3-3,2012-13,Champions League,AC Milan,jordi_alba,0.18,0.83,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,psg_2016_17_barca4_0,Kevin Trapp,GK,1,Unknown,2,PSG 4–0 Barcelona (2017 Ro16 1st leg),4-3-3,2016-17,Champions League,Barcelona,kevin_trapp,0.5,0.95,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,psg_2016_17_barca4_0,Presnel Kimpembe,CB,3,French Professional,2,PSG 4–0 Barcelona (2017 Ro16 1st leg),4-3-3,2016-17,Champions League,Barcelona,presnel_kimpembe,0.38,0.86,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,psg_2016_17_barca4_0,Marquinhos,CB,5,Brazilian Professional,2,PSG 4–0 Barcelona (2017 Ro16 1st leg),4-3-3,2016-17,Champions League,Barcelona,marquinhos,0.62,0.86,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,psg_2016_17_barca4_0,Marco Verratti,CM,6,Italy,2,PSG 4–0 Barcelona (2017 Ro16 1st leg),4-3-3,2016-17,Champions League,Barcelona,marco_verratti,0.65,0.65,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,psg_2016_17_barca4_0,Edinson Cavani,ST,9,Italy,2,PSG 4–0 Barcelona (2017 Ro16 1st leg),4-3-3,2016-17,Champions League,Barcelona,edinson_cavani,0.5,0.35,0
1,1,cl_comebacks_lineups.csv,cl_comebacks_lineups,Unknown,Champions League,barcelona_2012_13_milan4_0 vs psg_2016_17_barca4_0,psg_2016_17_barca4_0,Ángel Di María,RW,11,Argentina,2,PSG 4–0 Barcelona (2017 Ro16 1st leg),4-3-3,2016-17,Champions League,Barcelona,angel_di_maria,0.78,0.45,0
