Player,Club,Years,Apps,Goals
Lionel Messi,Barcelona C,2003–2004,10,5
Lionel Messi,Barcelona B,2004–2005,22,6
Lionel Messi,Barcelona,2004–2021,520,474
Lionel Messi,Paris Saint-Germain,2021–2023,58,22
Lionel Messi,Inter Miami,2023–present,44,40
Cristiano Ronaldo,Sporting CP B,2002–2003,2,0
Cristiano Ronaldo,Sporting CP,2002–2003,25,3
Cristiano Ronaldo,Manchester United (1st),2003–2009,196,84
Cristiano Ronaldo,Real Madrid,2009–2018,292,311
Cristiano Ronaldo,Juventus,2018–2021,98,81
Cristiano Ronaldo,Manchester United (2nd),2021–2022,40,19
Cristiano Ronaldo,Al-Nassr,2023–present,77,74
Zinedine Zidane,Cannes,1989–1992,61,6
Zinedine Zidane,Bordeaux,1992–1996,139,28
Zinedine Zidane,Juventus,1996–2001,151,24
Zinedine Zidane,Real Madrid,2001–2006,155,37
Ronaldo Nazário,Cruzeiro,1993–1994,34,34
Ronaldo Nazário,PSV,1994–1996,46,42
Ronaldo Nazário,Barcelona,1996–1997,37,34
Ronaldo Nazário,Inter Milan,1997–2002,68,49
Ronaldo Nazário,Real Madrid,2002–2007,127,83
Ronaldo Nazário,AC Milan,2007–2008,20,9
Ronaldo Nazário,Corinthians,2009–2011,31,18
Ronaldinho,Grêmio,1998–2001,89,23
Ronaldinho,Paris Saint-Germain,2001–2003,55,17
Ronaldinho,Barcelona,2003–2008,145,70
Ronaldinho,AC Milan,2008–2010,76,26
Ronaldinho,Flamengo,2011–2012,28,11
Ronaldinho,Atlético Mineiro,2012–2014,40,9
Ronaldinho,Querétaro,2014–2015,29,8
Ronaldinho,Fluminense,2015,9,0
Pelé,Santos,1956–1974,665,650
Pelé,New York Cosmos,1975–1977,56,31
Diego Maradona,Argentinos Juniors,1976–1981,166,116
Diego Maradona,Boca Juniors (1st),1981–1982,40,28
Diego Maradona,Barcelona,1982–1984,36,22
Diego Maradona,Napoli,1984–1991,188,81
Diego Maradona,Sevilla,1992–1993,26,5
Diego Maradona,Newell's Old Boys,1993,5,0
Diego Maradona,Boca Juniors (2nd),1995–1997,30,7
