name,nationality,club,league,position,age
Lionel Messi,Argentina,Inter Miami,MLS,RW,37
Cristiano Ronaldo,Portugal,Al Nassr,Saudi Pro League,ST,39
Neymar Jr,Brazil,Al Hilal,Saudi Pro League,LW,32
Kylian Mbappé,France,Real Madrid,La Liga,ST,25
Erling Haaland,Norway,Manchester City,Premier League,ST,24
Kevin De Bruyne,Belgium,Manchester City,Premier League,CAM,33
Luka Modrić,Croatia,Real Madrid,La Liga,CM,39
Virgil van Dijk,Netherlands,Liverpool,Premier League,CB,33
Mohamed Salah,Egypt,Liverpool,Premier League,RW,32
Robert Lewandowski,Poland,Barcelona,La Liga,ST,36
Sadio Mané,Senegal,Al Nassr,Saudi Pro League,LW,32
Karim Benzema,France,Al Ittihad,Saudi Pro League,ST,36
Pedri,Spain,Barcelona,La Liga,CM,21
Gavi,Spain,Barcelona,La Liga,CM,20
Jude Bellingham,England,Real Madrid,La Liga,CM,21
Phil Foden,England,Manchester City,Premier League,CAM,24
Bukayo Saka,England,Arsenal,Premier League,RW,23
Vinicius Jr,Brazil,Real Madrid,La Liga,LW,24
Jamal Musiala,Germany,Bayern Munich,Bundesliga,CAM,21
Florian Wirtz,Germany,Bayer Leverkusen,Bundesliga,CAM,21
Bruno Fernandes,Portugal,Manchester United,Premier League,CAM,30
Harry Kane,England,Bayern Munich,Bundesliga,ST,31
Victor Osimhen,Nigeria,Napoli,Serie A,ST,25
Rafael Leão,Portugal,AC Milan,Serie A,LW,25
Khvicha Kvaratskhelia,Georgia,Napoli,Serie A,LW,23
Eduardo Camavinga,France,Real Madrid,La Liga,CM,22
Aurélien Tchouaméni,France,Real Madrid,La Liga,CDM,24
Declan Rice,England,Arsenal,Premier League,CDM,25
Rodri,Spain,Manchester City,Premier League,CDM,28
Joshua Kimmich,Germany,Bayern Munich,Bundesliga,CDM,29
Trent Alexander-Arnold,England,Liverpool,Premier League,RB,26
Andrew Robertson,Scotland,Liverpool,Premier League,LB,30
João Cancelo,Portugal,Manchester City,Premier League,RB,30
Theo Hernández,France,AC Milan,Serie A,LB,27
Achraf Hakimi,Morocco,Paris Saint-Germain,Ligue 1,RB,26
Marquinhos,Brazil,Paris Saint-Germain,Ligue 1,CB,30
Rúben Dias,Portugal,Manchester City,Premier League,CB,27
Eder Militão,Brazil,Real Madrid,La Liga,CB,26
Alessandro Bastoni,Italy,Inter Milan,Serie A,CB,25
William Saliba,France,Arsenal,Premier League,CB,23
Alisson,Brazil,Liverpool,Premier League,GK,31
Thibaut Courtois,Belgium,Real Madrid,La Liga,GK,32
Manuel Neuer,Germany,Bayern Munich,Bundesliga,GK,38
Gianluigi Donnarumma,Italy,Paris Saint-Germain,Ligue 1,GK,25
Mike Maignan,France,AC Milan,Serie A,GK,29
Marc-André ter Stegen,Germany,Barcelona,La Liga,GK,32
Jan Oblak,Slovenia,Atlético Madrid,La Liga,GK,31
Emiliano Martínez,Argentina,Aston Villa,Premier League,GK,32
Ederson,Brazil,Manchester City,Premier League,GK,31
Keylor Navas,Costa Rica,Paris Saint-Germain,Ligue 1,GK,37
Martin Ødegaard,Norway,Arsenal,Premier League,CAM,26
Gabriel Jesus,Brazil,Arsenal,Premier League,ST,28
Gabriel Martinelli,Brazil,Arsenal,Premier League,LW,24
Leandro Trossard,Belgium,Arsenal,Premier League,LW,31
Kai Havertz,Germany,Arsenal,Premier League,CAM,26
Thomas Partey,Ghana,Arsenal,Premier League,CDM,32
Jorginho,Italy,Arsenal,Premier League,CM,33
Ben White,England,Arsenal,Premier League,CB,27
Gabriel Magalhães,Brazil,Arsenal,Premier League,CB,27
Oleksandr Zinchenko,Ukraine,Arsenal,Premier League,LB,28
Takehiro Tomiyasu,Japan,Arsenal,Premier League,RB,26
David Raya,Spain,Arsenal,Premier League,GK,30
Aaron Ramsdale,England,Arsenal,Premier League,GK,27
Fábio Vieira,Portugal,Arsenal,Premier League,CAM,25
Emile Smith Rowe,England,Arsenal,Premier League,CAM,25
Eddie Nketiah,England,Arsenal,Premier League,ST,26
Jakub Kiwior,Poland,Arsenal,Premier League,CB,25
Reiss Nelson,England,Arsenal,Premier League,RW,26
Jurriën Timber,Netherlands,Arsenal,Premier League,CB,24
Bernardo Silva,Portugal,Manchester City,Premier League,CAM,31
Jack Grealish,England,Manchester City,Premier League,LW,29
Julián Álvarez,Argentina,Manchester City,Premier League,ST,25
Mateo Kovačić,Croatia,Manchester City,Premier League,CM,31
John Stones,England,Manchester City,Premier League,CB,31
Kyle Walker,England,Manchester City,Premier League,RB,35
Nathan Aké,Netherlands,Manchester City,Premier League,CB,30
Manuel Akanji,Switzerland,Manchester City,Premier League,CB,30
Stefan Ortega,Germany,Manchester City,Premier League,GK,32
Matheus Nunes,Portugal,Manchester City,Premier League,CM,26
Sávio,Brazil,Manchester City,Premier League,LW,21
Sergio Gómez,Spain,Manchester City,Premier League,LB,25
Darwin Núñez,Uruguay,Liverpool,Premier League,ST,26
Luis Díaz,Colombia,Liverpool,Premier League,LW,28
Cody Gakpo,Netherlands,Liverpool,Premier League,ST,26
Diogo Jota,Portugal,Liverpool,Premier League,ST,28
Dominik Szoboszlai,Hungary,Liverpool,Premier League,CAM,24
Alexis Mac Allister,Argentina,Liverpool,Premier League,CM,26
Wataru Endo,Japan,Liverpool,Premier League,CDM,32
Curtis Jones,England,Liverpool,Premier League,CM,24
Harvey Elliott,England,Liverpool,Premier League,RW,22
Ibrahima Konaté,France,Liverpool,Premier League,CB,26
Joe Gomez,England,Liverpool,Premier League,CB,28
Jarell Quansah,England,Liverpool,Premier League,CB,22
Kostas Tsimikas,Greece,Liverpool,Premier League,LB,29
Caoimhín Kelleher,Republic of Ireland,Liverpool,Premier League,GK,26
Marcus Rashford,England,Manchester United,Premier League,LW,27
Rasmus Højlund,Denmark,Manchester United,Premier League,ST,22
Alejandro Garnacho,Argentina,Manchester United,Premier League,LW,21
Antony,Brazil,Manchester United,Premier League,RW,25
Jadon Sancho,England,Manchester United,Premier League,RW,25
Kobbie Mainoo,England,Manchester United,Premier League,CM,20
Casemiro,Brazil,Manchester United,Premier League,CDM,33
Christian Eriksen,Denmark,Manchester United,Premier League,CAM,33
Mason Mount,England,Manchester United,Premier League,CAM,26
Lisandro Martínez,Argentina,Manchester United,Premier League,CB,27
