Question_ID,Question,Metric,Answer_Position,Answer,Value,Value_Number,Value_Units,Value_Seconds,Is_Approximate
1,UEFA Champions League — Most Titles (Clubs),titles,1,Real Madrid,15,15.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,2,AC Milan,7,7.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,3,Bayern Munich,6,6.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,4,Liverpool,6,6.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,5,Barcelona,5,5.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,6,Ajax,4,4.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,7,Inter Milan,3,3.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,8,Manchester United,3,3.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,9,Benfica,2,2.0,titles,,false
1,UEFA Champions League — Most Titles (Clubs),titles,10,Juventus,2,2.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,1,Sevilla,7,7.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,2,Liverpool,3,3.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,3,Juventus,3,3.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,4,Inter Milan,3,3.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,5,Atlético Madrid,3,3.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,6,Tottenham,3,3.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,7,Borussia M’gladbach,2,2.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,8,Feyenoord,2,2.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,9,Real Madrid,2,2.0,titles,,false
2,UEFA Europa League / UEFA Cup — Most Titles (Clubs),titles,10,Parma,2,2.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,1,Real Madrid,6,6.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,2,Barcelona,5,5.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,3,AC Milan,5,5.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,4,Liverpool,4,4.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,5,Atlético Madrid,3,3.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,6,Ajax,2,2.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,7,Anderlecht,2,2.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,8,Bayern Munich,2,2.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,9,Chelsea,2,2.0,titles,,false
3,UEFA Super Cup — Most Titles (Clubs),titles,10,Paris Saint-Germain,1,1.0,titles,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,1,Real Madrid,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,2,AC Milan,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,3,Bayern Munich,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,4,Liverpool,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,5,Juventus,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,6,Barcelona,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,7,Benfica,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,8,Inter Milan,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,9,Manchester United,,,,,false
4,UEFA Champions League — Most Finals Reached (Clubs),,10,Atlético Madrid,,,,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,1,Miroslav Klose,16,16.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,2,Ronaldo (Brazil),15,15.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,3,Gerd Müller,14,14.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,4,Just Fontaine,13,13.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,5,Lionel Messi,13,13.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,6,Pelé,12,12.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,7,Kylian Mbappé,12,12.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,8,Jürgen Klinsmann,11,11.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,9,Sándor Kocsis,11,11.0,goals,,false
5,FIFA World Cup — All-Time Top Scorers (Men),goals,10,Gabriel Batistuta,10,10.0,goals,,false
6,UEFA European Championship — Most Titles (Nations),titles,1,Spain,4,4.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,2,Germany,3,3.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,3,Italy,2,2.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,4,France,2,2.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,5,Portugal,1,1.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,6,Netherlands,1,1.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,7,Denmark,1,1.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,8,Greece,1,1.0,titles,,false
6,UEFA European Championship — Most Titles (Nations),titles,9,Soviet Union,1,1.0,titles,,false
